Id,rating
802553,4
802554,4
802555,5
802556,4
802557,5
802558,5
802559,5
802560,4
802561,4
802562,4
802563,5
802564,4
802565,5
802566,3
802567,3
802568,4
802569,4
802570,3
802571,4
802572,4
802573,4
802574,4
802575,5
802576,4
802577,4
802578,4
802579,4
802580,4
802581,4
802582,5
802583,4
802584,4
802585,4
802586,4
802587,4
802588,4
802589,4
802590,5
802591,4
802592,4
802593,3
802594,5
802595,4
802596,3
802597,4
802598,5
802599,5
802600,5
802601,5
802602,4
802603,3
802604,4
802605,4
802606,4
802607,4
802608,4
802609,4
802610,3
802611,4
802612,4
802613,4
802614,4
802615,5
802616,4
802617,3
802618,4
802619,4
802620,4
802621,4
802622,4
802623,4
802624,4
802625,4
802626,4
802627,4
802628,4
802629,4
802630,4
802631,4
802632,4
802633,4
802634,4
802635,4
802636,4
802637,4
802638,4
802639,4
802640,4
802641,5
802642,4
802643,4
802644,4
802645,4
802646,4
802647,3
802648,4
802649,4
802650,4
802651,4
802652,4
802653,4
802654,4
802655,4
802656,5
802657,4
802658,4
802659,4
802660,4
802661,5
802662,3
802663,4
802664,3
802665,3
802666,5
802667,3
802668,3
802669,4
802670,4
802671,3
802672,3
802673,4
802674,3
802675,4
802676,4
802677,4
802678,4
802679,4
802680,4
802681,3
802682,4
802683,3
802684,5
802685,4
802686,5
802687,3
802688,4
802689,4
802690,4
802691,4
802692,4
802693,4
802694,3
802695,4
802696,5
802697,4
802698,4
802699,4
802700,5
802701,4
802702,4
802703,4
802704,4
802705,4
802706,5
802707,4
802708,4
802709,4
802710,4
802711,5
802712,4
802713,4
802714,4
802715,4
802716,4
802717,5
802718,3
802719,4
802720,4
802721,4
802722,4
802723,4
802724,4
802725,4
802726,4
802727,4
802728,4
802729,4
802730,5
802731,5
802732,4
802733,4
802734,4
802735,4
802736,4
802737,4
802738,4
802739,4
802740,4
802741,4
802742,4
802743,3
802744,4
802745,5
802746,4
802747,4
802748,4
802749,4
802750,4
802751,4
802752,5
802753,5
802754,3
802755,4
802756,4
802757,4
802758,4
802759,5
802760,4
802761,4
802762,4
802763,4
802764,4
802765,4
802766,4
802767,4
802768,4
802769,4
802770,3
802771,5
802772,5
802773,5
802774,3
802775,4
802776,4
802777,4
802778,3
802779,4
802780,3
802781,5
802782,4
802783,4
802784,4
802785,5
802786,4
802787,4
802788,4
802789,4
802790,3
802791,1
802792,3
802793,4
802794,4
802795,5
802796,4
802797,4
802798,4
802799,4
802800,4
802801,4
802802,4
802803,4
802804,4
802805,4
802806,4
802807,4
802808,4
802809,4
802810,4
802811,5
802812,5
802813,3
802814,4
802815,4
802816,3
802817,5
802818,3
802819,4
802820,4
802821,5
802822,3
802823,3
802824,3
802825,3
802826,5
802827,4
802828,3
802829,3
802830,3
802831,3
802832,3
802833,3
802834,3
802835,3
802836,3
802837,3
802838,4
802839,3
802840,3
802841,5
802842,4
802843,4
802844,4
802845,4
802846,3
802847,3
802848,4
802849,4
802850,4
802851,4
802852,3
802853,4
802854,4
802855,4
802856,4
802857,4
802858,4
802859,4
802860,3
802861,4
802862,4
802863,4
802864,4
802865,4
802866,4
802867,4
802868,4
802869,4
802870,4
802871,4
802872,4
802873,4
802874,4
802875,4
802876,3
802877,4
802878,4
802879,4
802880,4
802881,4
802882,4
802883,4
802884,4
802885,4
802886,2
802887,3
802888,1
802889,3
802890,3
802891,3
802892,3
802893,4
802894,4
802895,4
802896,5
802897,4
802898,4
802899,4
802900,4
802901,4
802902,5
802903,5
802904,4
802905,5
802906,4
802907,4
802908,4
802909,4
802910,4
802911,4
802912,5
802913,4
802914,4
802915,4
802916,4
802917,4
802918,4
802919,4
802920,5
802921,3
802922,4
802923,4
802924,4
802925,3
802926,4
802927,4
802928,4
802929,4
802930,4
802931,4
802932,4
802933,4
802934,5
802935,4
802936,3
802937,4
802938,3
802939,4
802940,3
802941,4
802942,4
802943,4
802944,3
802945,3
802946,5
802947,4
802948,5
802949,5
802950,4
802951,4
802952,1
802953,5
802954,4
802955,1
802956,4
802957,3
802958,4
802959,5
802960,4
802961,5
802962,5
802963,3
802964,4
802965,4
802966,4
802967,3
802968,4
802969,5
802970,5
802971,4
802972,4
802973,4
802974,5
802975,4
802976,5
802977,4
802978,5
802979,4
802980,1
802981,3
802982,4
802983,4
802984,4
802985,4
802986,3
802987,5
802988,3
802989,4
802990,4
802991,3
802992,4
802993,4
802994,4
802995,3
802996,4
802997,3
802998,3
802999,4
803000,4
803001,4
803002,4
803003,4
803004,4
803005,4
803006,4
803007,4
803008,3
803009,3
803010,3
803011,5
803012,3
803013,3
803014,4
803015,4
803016,4
803017,3
803018,4
803019,4
803020,4
803021,4
803022,4
803023,4
803024,5
803025,3
803026,5
803027,4
803028,4
803029,4
803030,3
803031,5
803032,5
803033,3
803034,5
803035,4
803036,4
803037,4
803038,4
803039,4
803040,4
803041,4
803042,4
803043,4
803044,3
803045,5
803046,4
803047,5
803048,4
803049,4
803050,4
803051,3
803052,3
803053,5
803054,1
803055,4
803056,3
803057,4
803058,4
