Id,rating
802553,4
802554,4
802555,5
802556,5
802557,4
802558,5
802559,3
802560,4
802561,4
802562,3
802563,5
802564,5
802565,5
802566,4
802567,3
802568,5
802569,3
802570,3
802571,5
802572,4
802573,3
802574,3
802575,5
802576,3
802577,4
802578,4
802579,3
802580,3
802581,1
802582,5
802583,4
802584,4
802585,4
802586,5
802587,4
802588,4
802589,3
802590,3
802591,4
802592,5
802593,4
802594,5
802595,4
802596,3
802597,4
802598,5
802599,3
802600,5
802601,5
802602,5
802603,4
802604,4
802605,2
802606,5
802607,4
802608,4
802609,4
802610,3
802611,1
802612,3
802613,4
802614,4
802615,4
802616,4
802617,4
802618,4
802619,3
802620,4
802621,5
802622,3
802623,3
802624,4
802625,4
802626,4
802627,3
802628,4
802629,4
802630,3
802631,3
802632,4
802633,4
802634,5
802635,5
802636,4
802637,4
802638,4
802639,5
802640,4
802641,5
802642,4
802643,4
802644,5
802645,4
802646,4
802647,3
802648,3
802649,4
802650,4
802651,4
802652,5
802653,4
802654,4
802655,4
802656,5
802657,4
802658,5
802659,4
802660,3
802661,4
802662,4
802663,4
802664,4
802665,3
802666,4
802667,4
802668,2
802669,4
802670,3
802671,5
802672,4
802673,4
802674,3
802675,4
802676,3
802677,4
802678,4
802679,4
802680,5
802681,4
802682,4
802683,3
802684,5
802685,4
802686,4
802687,4
802688,5
802689,5
802690,4
802691,4
802692,4
802693,4
802694,4
802695,3
802696,5
802697,4
802698,4
802699,3
802700,5
802701,5
802702,4
802703,4
802704,3
802705,4
802706,4
802707,4
802708,4
802709,5
802710,3
802711,4
802712,4
802713,4
802714,2
802715,4
802716,1
802717,5
802718,4
802719,4
802720,4
802721,4
802722,4
802723,4
802724,4
802725,5
802726,4
802727,5
802728,4
802729,4
802730,2
802731,5
802732,5
802733,4
802734,2
802735,3
802736,4
802737,5
802738,4
802739,4
802740,3
802741,4
802742,1
802743,3
802744,3
802745,4
802746,4
802747,4
802748,3
802749,3
802750,2
802751,4
802752,5
802753,4
802754,4
802755,1
802756,2
802757,3
802758,5
802759,4
802760,4
802761,4
802762,4
802763,4
802764,2
802765,5
802766,2
802767,3
802768,4
802769,5
802770,3
802771,3
802772,5
802773,5
802774,5
802775,4
802776,4
802777,2
802778,4
802779,4
802780,3
802781,4
802782,4
802783,4
802784,4
802785,5
802786,4
802787,4
802788,3
802789,4
802790,3
802791,4
802792,4
802793,5
802794,3
802795,5
802796,4
802797,4
802798,3
802799,5
802800,4
802801,4
802802,4
802803,3
802804,4
802805,4
802806,5
802807,3
802808,4
802809,4
802810,4
802811,5
802812,4
802813,4
802814,3
802815,3
802816,3
802817,4
802818,5
802819,4
802820,5
802821,4
802822,2
802823,4
802824,4
802825,4
802826,5
802827,4
802828,1
802829,3
802830,4
802831,3
802832,4
802833,4
802834,4
802835,4
802836,4
802837,4
802838,4
802839,4
802840,3
802841,4
802842,4
802843,3
802844,5
802845,3
802846,4
802847,4
802848,4
802849,4
802850,4
802851,4
802852,4
802853,4
802854,5
802855,5
802856,4
802857,4
802858,4
802859,4
802860,1
802861,4
802862,4
802863,4
802864,5
802865,4
802866,4
802867,4
802868,4
802869,4
802870,4
802871,4
802872,4
802873,4
802874,4
802875,3
802876,4
802877,5
802878,4
802879,4
802880,4
802881,5
802882,5
802883,4
802884,4
802885,3
802886,2
802887,4
802888,1
802889,4
802890,3
802891,3
802892,4
802893,4
802894,4
802895,4
802896,4
802897,4
802898,4
802899,4
802900,5
802901,3
802902,4
802903,4
802904,2
802905,5
802906,3
802907,4
802908,2
802909,5
802910,3
802911,4
802912,4
802913,1
802914,3
802915,4
802916,4
802917,4
802918,4
802919,4
802920,4
802921,3
802922,4
802923,3
802924,3
802925,2
802926,2
802927,4
802928,3
802929,4
802930,4
802931,3
802932,4
802933,4
802934,5
802935,4
802936,4
802937,3
802938,3
802939,4
802940,3
802941,5
802942,5
802943,4
802944,3
802945,4
802946,5
802947,4
802948,5
802949,3
802950,2
802951,5
802952,5
802953,3
802954,3
802955,1
802956,4
802957,4
802958,4
802959,4
802960,5
802961,4
802962,4
802963,3
802964,1
802965,5
802966,5
802967,3
802968,4
802969,5
802970,3
802971,5
802972,4
802973,4
802974,3
802975,2
802976,4
802977,4
802978,4
802979,4
802980,1
802981,3
802982,3
802983,4
802984,5
802985,4
802986,1
802987,5
802988,4
802989,1
802990,1
802991,2
802992,3
802993,3
802994,3
802995,3
802996,4
802997,2
802998,1
802999,3
803000,4
803001,4
803002,4
803003,3
803004,5
803005,2
803006,4
803007,5
803008,3
803009,3
803010,3
803011,5
803012,3
803013,2
803014,4
803015,4
803016,4
803017,3
803018,5
803019,4
803020,4
803021,5
803022,4
803023,4
803024,5
803025,3
803026,5
803027,4
803028,4
803029,3
803030,5
803031,5
803032,5
803033,3
803034,5
803035,2
803036,5
803037,5
803038,4
803039,5
803040,1
803041,3
803042,5
803043,4
803044,4
803045,4
803046,4
803047,5
803048,4
803049,4
803050,4
803051,3
803052,3
803053,3
803054,2
803055,4
803056,3
803057,5
803058,4
